Event,Start Time,End Time,Location,Type
Contest HQ/Test Distribution (Hilton),6:00 AM,12:00 PM,Hilton Gunston,Event
Contest HQ/Test Distribution (Omni),6:00 AM,12:00 PM,Omni Executive Room,Event
Judge's/Administrators Breakfast Orientation,7:00 AM,8:00 AM,Hilton Columbia Hall 11-12,Event
Registration/Information Desk,7:00 AM,2:00 PM,Hilton Concorse Foyer,Event
Registration/Information Desk,7:00 AM,2:00 PM,Omni Registration Desk West,Event
Finance Desk,7:00 AM,2:00 PM,Hilton Concorse Foyer,Event
Grading Room,7:00 AM,12:00 PM,Hilton Fairchild,Event
Tour Desk,7:00 AM,2:00 PM,Hilton Concorse Foyer,Event
Small Business Management Team Finals (S),7:30 AM,12:00 PM,Hilton Holmead & Hilton Independence,Contest
Small Business Management Team Finals (PS),7:30 AM,12:00 PM,Omni Calvert Room & Omni Govenor's Board Room,Contest
Network Design Team Finals (S),7:30 AM,12:00 PM,Hilton Kalorama & Hilton Jay,Contest
